learning_outcomes,average_confidence,day
I know how a simple for loop can be parallelized with Multiprocessing and how it can run on multiple cores,2.1,4
I can decide on useful file formats for big data,2.15,3
I can write a batch script that uses GPUs,2.5,4
I know the basics of using the different parallelization tools in Python,2.5,4
I can run a Python code that uses PyTorch,2.7,4
I can run a Python code that uses TensorFlow,2.7,4
I can use a Python IDE,2.75,2
"I can work (create, activate, work, deactivate) with a venv virtual environment",3,2
"I can work (i.e. inspect, clean, sort, etc) on my data with Pandas",3,3
I can determine which ML and DL modules are installed at a center,3,4
I can use the compute nodes interactively,3.15,2
I can make a plot with Seaborn,3.17,3
I can read and write tabular data with Pandas,3.31,3
I can load a Python (machine learning) module,3.4,4
I can check that I am in an interactive session,3.46,2
I am comfortable using the documentation of my HPC center,3.5,1
I can run a Python script that uses a graphical library on an HPC cluster,3.5,1
I can write a batch script,3.5,3
I can install Python packages,3.62,2
I can determine if a Python package is installed,3.69,2
I can submit a script to the job scheduler,3.69,3
I can read and write to/from a file in Python,3.7,1
I can make a plot with matplotlib,3.75,3
I can find and load a Python package module,3.92,2
I can load a Python version on my HPC cluster,4.1,1
I am comfortable using a Python book,4.3,1
I can convert a simple text question to Python code,4.3,1
I can convert a simple equation to Python code,4.4,1
I can describe what the Python interpreter is,4.4,1
I can use a text editor on my HPC cluster,4.4,1
I am comfortable learning Python,4.5,1
I can create and use a variable in Python,4.5,1
I can create a Python script,4.6,1
I can run a Python script,4.7,1
